videoId,textDisplay,publishedAt,authorDisplayName,authorProfileImageUrl
EH6vE97qIP4,Never thought I could be a professor at MIT teaching about crypto and blockchains.,2022-01-27T09:49:53Z,Euuuhhhful,https://yt3.ggpht.com/ytc/AKedOLSx4MreIDX4pNKSclA8KNF3tZtnmxF1Dtlu6Q=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,"Classic US class, a kid thinks first pizza bought with BTC when looking at a clear 90's photo",2022-01-27T03:07:11Z,ccmTopher34,https://yt3.ggpht.com/ytc/AKedOLQ5L4gl4hj26Fzf5wQq0SBkYEHkz2dKDx5XSQ=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,40:00,2022-01-25T19:58:45Z,Aedal Daniel,https://yt3.ggpht.com/ytc/AKedOLQriXBLOx6DNr6wArBIbAmlZIA47SsEsji_sMnw=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,So this is what gensler is doing. 👏... hey u might wanna take a lunch break and look at the manipulation in AMC .. can someone in his class ask him about AMC ... send me ur mm address and I'll compensate you for the grand gesture .,2022-01-24T18:57:17Z,DaGainSta,https://yt3.ggpht.com/f0QClsIvsiaW8synrLkY8p3KxW--y5G3VzOLlGYn09HHen8TuNr0W5DS-wYq7z2eYg7PS7Vrww=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,Cancel student loan debt.,2022-01-24T18:07:47Z,Fatguyinskinnyjeans,https://yt3.ggpht.com/ytc/AKedOLTdjWYSjDc61hOwSxZ71SnRCLWtfkGCcEKlXQ=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,"23:38…on the role of money…they overlooked one really big aspect of our current money system:  it is also a form of power in which the rich subjugate the poor.  This is why blockchain money being decentralized is so key and why it scares the hell out of those who manipulate valuations using a central bank construct.  The central bank system gives way too much power to the hands of a few…they print money, screw around with interest rates and then tighten up and destroy whole sectors of an economy….essentially, manipulate a boom-bust cycle allowing those on the inside to profit from the whimsical moves of a central bank, which they control behind the scenes.",2022-01-23T19:58:32Z,Commenter2001,https://yt3.ggpht.com/ytc/AKedOLQB7f5ytt0faYVrY4hjGcRYL_JZWH-Z-oX5RQ=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,Trading tickets that represent a share of economic output.... That's finance.,2022-01-23T05:14:40Z,Patrick Blair,https://yt3.ggpht.com/ytc/AKedOLQMbYEnw0EeZZy_gNePFkobca7KEXrtc4ErzA=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,To connect savers and lenders,2022-01-23T04:53:11Z,Patrick Blair,https://yt3.ggpht.com/ytc/AKedOLQMbYEnw0EeZZy_gNePFkobca7KEXrtc4ErzA=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,I literally cannot believe that the chair of the SEC was a professor in blockchain. Crazy,2022-01-22T05:23:36Z,talha khan,https://yt3.ggpht.com/ytc/AKedOLT9Pk6ja7iwon6EDD4K8hODgUxJWjutHCEFMw=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,"Dear MIT, thank you",2022-01-22T01:46:47Z,Bharat Kumar Gupta,https://yt3.ggpht.com/J0zmAve9mzfU_zKF_AWRcMoF-lhYVLpbZmCArR-cA3ieTFAiauEZ0lbEhZqJMrkkvpXJOTDE=s48-c-k-c0x00ffffff-no-rj
